category,key_words,word1,word2,word3,word4,word5,difficulty
Words That Follow "Face",face,lift,value,time,palm,book,48
Words That Follow "Back",back,bone,seat,log,ground,up,42
Words That Follow "Side",side,bar,effect,note,kick,dish,45
Words That Follow "Wheel",wheel,barrow,base,chair,house,spin,53
Words That Follow "Brown",brown,bag,stone,sugar,out,bear,52
Words That Follow "Clay",clay,pigeon,pot,tablet,court,animation,56
Words That Follow "Tree",tree,house,trunk,ring,line,hugger,57
Words That Follow "Crop",crop,circle,top,rotation,duster,failure,60
Words That Follow "Fair",fair,play,game,trade,deal,weather,52
Words That Follow "Open",open,house,ended,season,source,mind,45
Words That Follow "System",system,restore,shock,failure,reboot,clock,58
Words That Follow "User",user,name,guide,error,input,interface,50
Words That Follow "Data",data,base,breach,mining,type,center,49
Words That Follow "Cloud",cloud,nine,burst,cover,storage,computing,52
Words That Follow "Camera",camera,roll,trap,lens,angle,crew,51
Words That Follow "Room",room,service,mate,temperature,board,key,42
Words That Follow "Board",board,game,walk,member,meeting,dashboard,54
Words That Follow "Heavy",heavy,metal,weight,duty,rain,hitter,56
Words That Follow "Pocket",pocket,watch,rocket,square,knife,money,47
Words That Follow "Living",living,will,proof,wage,legend,room,58
Words That Follow "Dining",dining,chair,etiquette,out,hall,table,44
Words That Follow "Kitchen",kitchen,sink,cabinet,island,timer,knife,47
Words That Follow "Key",key,stone,board,note,lime,word,49
Words That Follow "Star",star,ship,struck,fish,fruit,light,56
Words That Follow "Sun",sun,set,day,light,burn,flower,43
Words That Follow "Moon",moon,phase,beam,scape,shine,light,44
Words That Follow "Planet",planet,ocean,fitness,earth,express,X,53
Words That Follow "Galaxy",galaxy,note,s,far,cluster,quest,59
Words That Follow "Belly",belly,flop,dance,button,laugh,ache,46
Words That Follow "Lip",lip,reading,sync,service,balm,stick,51
Words That Follow "Nail",nail,gun,bed,polish,file,head,48
Words That Follow "Eye",eye,witness,opener,candy,lid,ball,43
Words That Follow "Ear",ear,piece,ring,worm,drum,ache,45
Words That Follow "Nose",nose,dive,ring,bleed,cone,job,46
Words That Follow "Body",body,guard,language,shop,building,odor,52
Words That Follow "Foreign",foreign,aid,body,coin,film,language,57
Words That Follow "False",false,alarm,teeth,start,dawn,hope,55
Words That Follow "World",world,fair,heritage,wide,cup,war,42
Spices Used in Baking,"spice;baking",Cardamom,Nutmeg,Cinnamon,Mace,Allspice,40
Words That Follow "Perfect","perfect",Score,Storm,Pitch,Stranger,Circle,44
Words That Follow "Sweet","sweet",Spot,Tooth,Dreams,Talk,Potato,41
Words That Follow "Broken","broken",Arrow,Record,Heart,English,Wing,56
Words That End with "Info","info",Contact,User,Geo,Meta,Background,46
Words That Start with "Re","re",Think,Wire,Do,Heat,Fill,41
Words That End with "Fire","fire",Bon,Cease,Wild,Friendly,Camp,51
Words That End with "Time","time",Life,Night,Air,Miller,Prime,44
Words That End with "Light","light",Flash,Head,Day,Flood,Green,40
Words That End with "Step","step",Two,Half,Mis,Foot,Quick,45
Words That End with "Break","break",Coffee,Lunch,Ice,Fast,Deal,49
Words That End with "Mind","mind",Master,Never,Open,Frame,Sound,57
Words That End with "Right","right",Birth,Copy,Upright,Human,Civil,52
Words That End with "Cast","cast",Down,Broad,Type,Pod,Out,43
Words That End with "Gate","gate",Hell,Heaven,Flood,Iron,Golden,54
Words That End with "Fall","fall",Rain,Snow,Free,Night,Down,42
Words That End with "Mail","mail",E,Chain,Voice,Air,Junk,47
Words That End with "Home","home",Take,Nursing,Welcome,Work,Abandon,51
Words That End with "Ball","ball",Fire,Snow,Crystal,Foot,Cannon,44
Words That End with "Side","side",Back,Broad,Chip,Dark,Blind,50
Words That End with "Point","point",Needle,Check,View,Strong,Weak,53
Words That End with "Board","board",Dash,Bill,Switch,Plank,Checker,55
Words That End with "Drive","drive",Over,Hard,Flash,Network,Long,60
Famous Tech Entrepreneurs,tech;technology;entrepreneur;entrepreneurs;biz;business,Jobs,Gates,Zuckerberg,Musk,Bezos,45
Superhero Teams,superhero;superheroes;team;teams;comics,Avengers,Justice League,X-Men,Fantastic Four,Teen Titans,50
Famous Volcanoes,volcano;volcanoes;geology;mountain,Vesuvius,Etna,Krakatoa,Fuji,Stromboli,43
Nobel Prize in Literature Laureates,nobel;nobels;literature;laureate;laureates;writing,Hemingway,Faulkner,Camus,Steinbeck,Doris Lessing,58
Iconic Board Games,board;boards;game;games;tabletop,Clue,Monopoly,Scrabble,Risk,Catan,42
Historic Pandemics,pandemic;pandemics;disease;history,Plague of Justinian,Black Death,Spanish Flu,SARS,COVID-19,55
Famous American Generals (Modern),american;americans;general;generals;usa;army,Eisenhower,Patton,Schwarzkopf,MacArthur,Colin Powell,53
Greek Mythological Heroes,greek;greece;myth;mythology;hero;heroes,Perseus,Theseus,Bellerophon,Jason,Heracles,60
Marvel Villains,marvel;villain;villains;comic;comics,Green Goblin,Doctor Doom,Ultron,Thanos,Magneto,46
Classic Rock Bands,rock;band;bands;music;classic,The Beatles,The Rolling Stones,Pink Floyd,Led Zeppelin,Queen,40
Historic Computer Pioneers,computer;computers;pioneer;pioneers;tech;technology,Turing,Hopper,Shannon,Von Neumann,Atanasoff,57
Major World Deserts,desert;deserts;geography;earth,Sahara,Gobi,Kalahari,Mojave,Atacama,44
Famous Ballet Dancers,ballet;dance;dancer;dancers,Anna Pavlova,Rudolf Nureyev,Mikhail Baryshnikov,Margot Fonteyn,Misty Copeland,62
Modern Philosophers,philosopher;philosophers;modern;thinker;thinkers,Descartes,Kant,Nietzsche,John Locke,John Stuart Mill,56
Legendary Guitarists,guitar;guitars;guitarist;guitarists;music,Jimi Hendrix,Eric Clapton,Jimmy Page,Carlos Santana,Eddie Van Halen,54
Renaissance Figures,renaissance;figure;figures;history,Leonardo da Vinci,Michelangelo,Galileo,Machiavelli,Raphael,59
Space Telescopes,space;telescope;telescopes;astronomy,Hubble,Spitzer,Kepler,James Webb,Chandra,48
Fictional Detectives,detective;detectives;fiction;mystery,Sherlock Holmes,Miss Marple,Hercule Poirot,Nancy Drew,Philip Marlowe,52
Famous Fairy Tales,fairy;faeries;fairytale;fairytales;story;stories,Cinderella,Snow White,Sleeping Beauty,Rapunzel,Little Mermaid,39
Celtic Mythology Figures,celtic;myth;mythology;figure;figures,Cuchulainn,Fionn mac Cumhaill,Bran,Rhiannon,Lug,63
Famous Drummers,drummer;drummers;music;band;bands,Ringo Starr,Keith Moon,John Bonham,Neil Peart,Phil Collins,45
Influential Physicists,physics;physicist;physicists;science,Newton,Einstein,Bohr,Hawking,Feynman,60
Broadway Musicals,broadway;musical;musicals;theatre;show;shows,Hamilton,Cats,Wicked,Les Misérables,The Lion King,42
Famous Cartoon Duos,cartoon;cartoons;tv;duo;duos,Tom and Jerry,Pink and Brain,Scooby and Shaggy,Ren and Stimpy,Wallace and Gromit,47
Historic Astronomers,astronomy;astronomer;astronomers;space,Copernicus,Tycho Brahe,Johannes Kepler,Herschel,Hubble,58
Famous Dancers (20th Century),dance;dancer;dancers;choreography,Fred Astaire,Gene Kelly,Ginger Rogers,Isadora Duncan,Martha Graham,53
Film Noir Classics,film;films;movie;movies;noir,Double Indemnity,The Maltese Falcon,Sunset Boulevard,Touch of Evil,Laura,56
Famous Ancient Wonders,history;wonder;wonders;ancient,Great Pyramid,Hanging Gardens,Temple of Artemis,Statue of Zeus,Mausoleum at Halicarnassus,55
NFL Hall of Famers,nfl;football;hall of famer;hall of famers;sport,Joe Montana,Jerry Rice,Jim Brown,Lawrence Taylor,Walter Payton,50
Famous Internet Memes,internet;web;meme;memes;popculture,Nyan Cat,Rickroll,Doge,Bad Luck Brian,Success Kid,41
Distinguished Biologists,biology;biologist;biologists;science,Darwin,Linnaeus,Mendel,Rachel Carson,Jane Goodall,46
Classical Era Composers,classical;composer;composers;music,Mozart,Haydn,Beethoven,Schubert,Clementi,49
Famous Female Rulers,female;woman;women;ruler;rulers;monarch;monarchy,Elizabeth I,Catherine the Great,Victoria,Cleopatra,Empress Wu,61
Oscar-Winning Actors,movie;movies;film;films;actor;actors;oscar;oscars,Tom Hanks,Denzel Washington,Anthony Hopkins,Daniel Day-Lewis,Jack Nicholson,52
Space Race Milestones,space;milestone;milestones;history,Sputnik,Vostok 1,Apollo 11,Skylab,Soyuz,44
Famous Dinosaurs,dinosaur;dinosaurs;prehistoric,Tyrannosaurus,Triceratops,Velociraptor,Diplodocus,Stegosaurus,37
International Car Brands,car;cars;brand;brands;automotive,Toyota,Ford,Volkswagen,Hyundai,Ferrari,40
Biblical Prophets,bible;prophet;prophets;religion,Isaiah,Jeremiah,Ezekiel,Daniel,Jonah,56
Harvard Dropouts,harvard;college;dropout;dropouts,Bill Gates,Mark Zuckerberg,Matt Damon,Winthrop Smith,Robert Frost,60
Famous Innovators (Inventions),invention;inventions;innovator;innovators;science,Edison,Bell,Marconi,Tesla,Wright Brothers,57
Iconic Movie Monsters,movie;movies;monster;monsters;horror,Godzilla,King Kong,Frankenstein,Werewolf,Dracula,43
Famous Stand-up Comedians,comedy;comedian;comedians;standup;stand-up,Richard Pryor,George Carlin,Joan Rivers,Robin Williams,Eddie Murphy,51
Mythical Bird Creatures,mythical;myth;mythology;bird;birds,Phoenix,Roc,Thunderbird,Firebird,Harpies,59
Historic Queens (Europe),queen;queens;europe;history,Isabella of Castile,Mary Queen of Scots,Anne Boleyn,Marie Antoinette,Catherine de Medici,62
Rock Drummers,rock;drummer;drummers;band;bands,John Bonham,Keith Moon,Neil Peart,Lars Ulrich,Dave Grohl,48
Baseball Hall of Famers,mlb;baseball;hall of famer;hall of famers;sport,Babe Ruth,Willie Mays,Hank Aaron,Ted Williams,Ty Cobb,40
Classic Arcade Games,arcade;game;games;gaming,Pac-Man,Space Invaders,Donkey Kong,Galaga,Asteroids,39
Anime Masterpieces,anime;tv;film;films;cartoon,Akira,Ghost in the Shell,Spirited Away,Your Name,Dragon Ball,53
Napoleonic Battles,napoleon;history;battle;battles;war,Austerlitz,Waterloo,Borodino,Leipzig,Marengo,60
Historic U.S. Documents,usa;history;document;documents,Declaration of Independence,Constitution,Bill of Rights,Emancipation Proclamation,Gettysburg Address,58
Epic Fantasy Authors,fantasy;author;authors;book;books,J.R.R. Tolkien,George R.R. Martin,Robert Jordan,Terry Pratchett,Ursula K. Le Guin,49
Famous Disney Animals,disney;animal;animals;cartoon;kids,Simba,Bambi,Dumbo,Nemo,Thumper,38
Video Game Mascots,videogame;videogames;mascot;mascots;game;games,Mario,Sonic,Pikachu,Crash Bandicoot,Master Chief,42
Pulitzer Prize-Winning Novels,pulitzer;novel;novels;book;books,To Kill a Mockingbird,The Old Man and the Sea,The Grapes of Wrath,Beloved,The Road,55
Famous Roman Emperors,rome;roman;emperor;emperors;history,Augustus,Tiberius,Caligula,Nero,Marcus Aurelius,60
Classic Poets (English),poetry;poet;poets;english,Shakespeare,Chaucer,Wordsworth,Tennyson,Blake,46
Women in Tech History,women;woman;tech;technology;computers,Ada Lovelace,Grace Hopper,Radia Perlman,Hedy Lamarr,Sheryl Sandberg,54
Famous Game Show Hosts,gameshow;game;games;host;hosts;tv,Alex Trebek,Pat Sajak,Bob Barker,Steve Harvey,Meredith Vieira,43
World Capitals (Easier Set),capital;capitals;world;city,cities,Paris,London,Tokyo,Berlin,Rome,35
Historic Explorers,explorer;explorers;travel,Marco Polo,Columbus,Magellan,Vasco da Gama,Henry Hudson,48
Popular Fad Diets,diet;diets;nutrition;health,Keto,Atkins,Paleo,Whole30,South Beach,44
Famous Magicians,magician;magicians;illusion;magic,Houdini,David Copperfield,Penn & Teller,Criss Angel,Dynamo,52
Iconic TV Families,tv;television;family;families,The Simpsons,The Griffins,The Huxtables,The Tanners,The Waltons,47
Royal British Houses,british;royal;house;houses;monarchy,Tudor,Stuart,Hanover,Windsor,Plantagenet,59
Famous War Generals (Ancient),general;generals;ancient;history;war,Alexander the Great,Hannibal,Julius Caesar,Sun Tzu,Cyrus the Great,62
Viral YouTube Stars,youtube;youtubers;video;internet,PewDiePie,MrBeast,Jenna Marbles,Shane Dawson,Smosh,42
DC Comics Villains,dc;villain;villains;comic;comics,Joker,Lex Luthor,Darkseid,Sinestro,Deathstroke,49
Famous Mythological Places,myth;mythology;place;places,Olympus,Asgard,Valhalla,Atlantis,Avalon,53
Clint Eastwood Movies,movie;movies;film;films;clint eastwood,Dirty Harry,Unforgiven,Gran Torino,The Good the Bad and the Ugly,Million Dollar Baby,50
Classic Norse Gods,norse;god;gods;myth;mythology,Odin,Thor,Freyja,Loki,Heimdall,56
Famous Redheaded TV Characters,tv;character;characters;redhead,Lucy Ricardo,Willow Rosenberg,Donna Pinciotti,Kim Possible,Archie Andrews,48
X-Files Episodes,xfiles;tv;episode;episodes,Squeeze,Pilot,Home,Clyde Bruckmans Final Repose,Jose Chungs From Outer Space,58
Famous Surfers,surf;surfer;surfers;surfing;water,Kelly Slater,Laird Hamilton,Bethany Hamilton,Gerry Lopez,Mick Fanning,46
Psychology Branches,psychology;branch;branches;mind,Behaviorism,Cognitive,Humanistic,Psychoanalysis,Developmental,43
Harlem Renaissance Artists,harlem;renaissance;artist;artists;black culture,Langston Hughes,Zora Neale Hurston,Aaron Douglas,Countee Cullen,Jean Toomer,60
Ancient Civilizations,ancient;history;civilization;civilizations,Sumerians,Babylonians,Phoenicians,Hittites,Etruscans,57
Modern Billionaires,billionaire;billionaires;biz;business,Warren Buffett,Larry Ellison,Mark Cuban,Larry Page,Mukesh Ambani,52
International Airlines,airline;airlines;travel;flight,Lufthansa,Emirates,Delta,Qantas,Air Canada,37
Famous Pirates,pirate;pirates;history;sea,Blackbeard,Calico Jack,Anne Bonny,Henry Morgan,Bartholomew Roberts,53
Wimbledon Champions (Men),wimbledon;champion;champions;tennis;sport,Roger Federer,Rafael Nadal,Novak Djokovic,Pete Sampras,Bjorn Borg,48
20th Century Canadian Musicians,canada;music;musician;musicians,Leonard Cohen,Neil Young,Joni Mitchell,Bryan Adams,Celine Dion,42
Civil Rights Leaders,civil;rights;leader;leaders;america,Martin Luther King Jr,Malcolm X,Rosa Parks,Medgar Evers,Fannie Lou Hamer,55
20th Century Poetry Movements,poetry;movement;movements;literature,Beat,Confessional,Harlem Renaissance,Imagism,Black Mountain,49
Winter Olympic Sports,winter;olympic;olympics;sport;sports,Figure Skating,Bobsleigh,Ski Jumping,Ice Hockey,Curling,40
Greatest Chess Champions,chess;champion;champions;player;players,Kasparov,Fischer,Carlsen,Karpov,Tal,58
Famous Dr Seuss Books,dr seuss;seuss;book;books;children;kids;story,The Cat in the Hat,Green Eggs and Ham,How the Grinch Stole Christmas,Horton Hears a Who,Oh The Places Youll Go,36
Internet Tech Giants,tech;giant;giants;company;companies;internet,Google,Amazon,Facebook,Apple,Microsoft,41
Tom Hanks Movies,movie;movies;film;films;actor;actors;hanks,Big,Forrest Gump,Cast Away,Saving Private Ryan,Toy Story,39
Beatles Albums,beatles;album;albums;music,Abbey Road,Sgt Pepper,Revolver,Rubber Soul,Let It Be,45
Famous Violinists,violin;violins;violinist;violinists;music,Itzhak Perlman,Niccolò Paganini,Yehudi Menuhin,Hilary Hahn,Joshua Bell,50
Iconic Fast-Food Chains,fastfood;chain;chains;brand;brands;restaurants,McDonalds,KFC,Subway,Burger King,Wendys,35
Renaissance Scientists (Easier Set),renaissance;scientist;scientists;history,Copernicus,Galilei,Kepler,Vesalius,Tycho Brahe,52
Mythological Weapons,myth;mythology;weapon;weapons,Mjolnir,Excalibur,Gungnir,Trident of Poseidon,Masamune,59
Historic Speeches,speech;speeches;history,Gettysburg Address,I Have a Dream,We Shall Fight on the Beaches,Tear Down This Wall,Blood Toil Tears and Sweat,58
Mafia Movies,mafia;mob;movie;movies;film;films,The Godfather,Goodfellas,Scarface,Casino,The Departed,47
Saturn’s Moons,space;astronomy;moon;moons;saturn,Titan,Rhea,Mimas,Enceladus,Tethys,53
Famous TV Sitcoms,tv;television;sitcom;sitcoms,Friends,Seinfeld,The Office,Parks and Recreation,Cheers,38
Historic Space Probes,space;probe;probes;history,Voyager 1,Voyager 2,Pioneer 10,Cassini,New Horizons,51
World War I Battles,ww1;battle;battles;history,Somme,Verdun,Gallipoli,Tannenberg,Marne,59
Famous Cookies,cookie;cookies;dessert;snack,Chocolate Chip,Oatmeal Raisin,Peanut Butter,Snickerdoodle,Macadamia Nut,37
Tim Burton Movies,tim burton;movie;movies;film;films,Edward Scissorhands,Beetlejuice,Corpse Bride,Sweeney Todd,Batman 1989,48
Historic Earthquakes,earthquake;earthquakes;history,San Francisco 1906,Great Kanto 1923,Chile 1960,Haiti 2010,Shaanxi 1556,54
Iconic Comic Strips,comic;comics;strip;strips,Peanuts,Calvin and Hobbes,Garfield,Bloom County,Dilbert,42
NHL Stanley Cup Dynasties,nhl;hockey;dynasty;dynasties;sport,Montreal Canadiens,Toronto Maple Leafs,Edmonton Oilers,New York Islanders,Detroit Red Wings,50
Halloween Traditions,halloween;custom;customs;holiday,Trick-or-Treat,Costumes,Jack-o-lanterns,Haunted Houses,Candy Corn,40
Pixar Movies,pixar;movie;movies;film;films;animation,Toy Story,Finding Nemo,The Incredibles,Up,Inside Out,39
NASA Launch Sites,nasa;space;launch;site;sites,Kennedy Space Center,Vandenberg,Wallops,Cape Canaveral,Stennis,47
Rock Ballads,rock;music;ballad;ballads;song;songs,Stairway to Heaven,Bohemian Rhapsody,November Rain,Hotel California,Nothing Else Matters,52
Grunge Bands,grunge;band;bands;music;rock,Nirvana,Pearl Jam,Soundgarden,Alice in Chains,Stone Temple Pilots,46
Famous Cat Breeds,cat;cats;breed;breeds;pet;pets,Siamese,Persian,Maine Coon,Bengal,Sphynx,38
YA Dystopian Novels,ya;novel;novels;book;books;teens,The Hunger Games,Divergent,The Maze Runner,Uglies,Matched,43
African Mammals,africa;african;mammal;mammals;wildlife,Lion,Elephant,Giraffe,Rhinoceros,Hippo,35
Famous Athletes Named Michael,athlete;athletes;michael;sports,Michael Jordan,Michael Phelps,Michael Schumacher,Mike Tyson,Michael Irvin,49
Earth’s Biomes,earth;ecology;biome;biomes,Tundra,Taiga,Rainforest,Savanna,Desert,42
Revolutionary War Figures,usa;american;history;revolutionary war,George Washington,Benjamin Franklin,Alexander Hamilton,Paul Revere,Benedict Arnold,51
Famous Video Game Directors,game;videogame;videogames;designer;designers,Shigeru Miyamoto,Hideo Kojima,Sid Meier,John Romero,Todd Howard,53
Golden Age Radio Shows,radio;show;shows;history;audio,The Shadow,Fibber McGee and Molly,Dragnet,The Jack Benny Program,Suspense,56
Enlightenment Thinkers,enlightenment;thinker;thinkers;philosophy;history,Voltaire,Rousseau,Locke,Montesquieu,Kant,57
Famous Illustrators,illustrator;illustrators;artist;artists,Norman Rockwell,Maurice Sendak,Beatrix Potter,Quentin Blake,Bill Watterson,52
Historic Wars,war;wars;history;conflict,The Crusades,The Hundred Years War,World War I,World War II,The Vietnam War,60
Popular Reality TV Shows,reality;tv;television;show;shows,Survivor,Big Brother,The Bachelor,American Idol,Dancing with the Stars,44
